Annot,1,2,3,N,geneID1,geneIDCommon,geneID2
Insulin resistance,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Insulin secretion,12,12,12,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Insulin signaling pathway,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Jak-STAT signaling pathway,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Leukocyte transendothelial migration,9,9,10,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)
Long-term depression,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Long-term potentiation,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Lysosome,10,10,12,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q5A644:aconitase family protein similar to S. cerevisiae LYS4 (YDR234W) mitochondrial homoaconitase(LYS4)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
MAPK signaling pathway,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Measles,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Melanoma,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Metabolic pathways,14,14,16,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P97450:ATP synthase; H+ transporting; mitochondrial F0 complex; subunit F(Atp5j)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P56480:ATP synthase; H+ transporting mitochondrial F1 complex; beta subunit(Atp5b)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P97450:ATP synthase; H+ transporting; mitochondrial F0 complex; subunit F(Atp5j)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P56480:ATP synthase; H+ transporting mitochondrial F1 complex; beta subunit(Atp5b)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P97450:ATP synthase; H+ transporting; mitochondrial F0 complex; subunit F(Atp5j)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q5A644:aconitase family protein similar to S. cerevisiae LYS4 (YDR234W) mitochondrial homoaconitase(LYS4)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P56480:ATP synthase; H+ transporting mitochondrial F1 complex; beta subunit(Atp5b)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Mineral absorption,12,12,12,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Natural killer cell mediated cytotoxicity,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Neuroactive ligand-receptor interaction,3,3,4,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2),Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P31750:thymoma viral proto-oncogene 1(Akt1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)
Neurotrophin signaling pathway,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Nicotine addiction,3,3,4,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2),Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P31750:thymoma viral proto-oncogene 1(Akt1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)
